iter	MultiClass
0	1.097792935
1	1.096843456
2	1.0962604
3	1.095440747
4	1.095081313
5	1.094247889
6	1.093652762
7	1.093278509
8	1.09270234
9	1.091850303
10	1.091418832
11	1.090978146
12	1.090259646
13	1.08960349
14	1.089123583
15	1.088062316
16	1.087492822
17	1.086839676
18	1.086213157
19	1.085709567
20	1.084950119
21	1.084342493
22	1.083724021
23	1.08259565
24	1.081816024
25	1.081028656
26	1.080430592
27	1.080257495
28	1.079603562
29	1.079293736
30	1.078904067
31	1.078529496
32	1.077922536
33	1.077417295
34	1.076707847
35	1.075952696
36	1.075068035
37	1.074583825
38	1.073788016
39	1.07341719
40	1.072628814
41	1.071805846
42	1.071290989
43	1.070814961
44	1.070697589
45	1.069904783
46	1.069667808
47	1.069066598
48	1.068770436
49	1.068442445
50	1.068231339
51	1.067809348
52	1.06761466
53	1.06715924
54	1.066476557
55	1.066084786
56	1.065238725
57	1.065095447
58	1.064652125
59	1.064118394
60	1.063776359
61	1.063031798
62	1.062585661
63	1.062000539
64	1.06118025
65	1.060785355
66	1.060430391
67	1.059812287
68	1.059419286
69	1.058954827
70	1.058490737
71	1.057759672
72	1.057369022
73	1.057053987
74	1.056511264
75	1.056001694
76	1.055512108
77	1.055036732
78	1.054270217
79	1.054050665
80	1.053501778
81	1.05288077
82	1.05234989
83	1.052067218
84	1.051562962
85	1.051312264
86	1.050724843
87	1.050439804
88	1.05004839
89	1.049670477
90	1.049296186
91	1.048752131
92	1.048239972
93	1.047954075
94	1.047661273
95	1.047135139
96	1.046861323
97	1.046519688
98	1.04594581
99	1.045329469
100	1.044831233
101	1.04464727
102	1.043728473
103	1.043385178
104	1.043004846
105	1.042704346
106	1.04245405
107	1.042164177
108	1.041942598
109	1.041505609
110	1.040879586
111	1.040507621
112	1.040203718
113	1.039625082
114	1.039188581
115	1.038863849
116	1.038494183
117	1.038156936
118	1.037752068
119	1.037291431
120	1.037045711
121	1.036530024
122	1.036287981
123	1.035782389
124	1.035386616
125	1.035058468
126	1.034516852
127	1.034201451
128	1.03340923
129	1.03329284
130	1.03290339
131	1.032473439
132	1.031819127
133	1.03143157
134	1.030976436
135	1.030643769
136	1.030238062
137	1.029632993
138	1.028993812
139	1.028875878
140	1.02832481
141	1.027852427
142	1.027670709
143	1.027273867
144	1.026975388
145	1.026788487
146	1.026288289
147	1.026130181
148	1.025713329
149	1.025482894
150	1.025156076
151	1.02496354
152	1.024655461
153	1.024340097
154	1.024154112
155	1.023730018
156	1.023454836
157	1.02300864
158	1.022543189
159	1.022246737
160	1.021980574
161	1.021379779
162	1.021114638
163	1.020882337
164	1.020663963
165	1.020384032
166	1.019752916
167	1.019344927
168	1.01897331
169	1.018675164
170	1.017964592
171	1.017651566
172	1.017230396
173	1.016720746
174	1.016499987
175	1.016221145
176	1.015727591
177	1.015439743
178	1.01502089
179	1.014672516
180	1.014459022
181	1.014185657
182	1.0138052
183	1.01341173
184	1.013148505
185	1.012890927
186	1.012568519
187	1.012427675
188	1.012042285
189	1.011732701
190	1.011330495
191	1.011014291
192	1.010806335
193	1.010268408
194	1.010043241
195	1.009638992
196	1.009386712
197	1.00909928
198	1.008841931
199	1.008602272
200	1.008413132
201	1.00786474
202	1.00759858
203	1.007235555
204	1.006392126
205	1.006082633
206	1.005857306
207	1.005452911
208	1.005193772
209	1.00496205
210	1.004550166
211	1.004325575
212	1.003943632
213	1.00326766
214	1.003043965
215	1.002855682
216	1.002304867
217	1.001985391
218	1.001706035
219	1.001380915
220	1.001146625
221	1.000897033
222	1.000758249
223	1.000577827
224	1.000369504
225	1.000029792
226	0.9998741256
227	0.9995548298
228	0.9993625432
229	0.9988747169
230	0.9984527221
231	0.9981797722
232	0.9979304148
233	0.9975693444
234	0.9971324234
235	0.9967818049
236	0.9964553446
237	0.9961817002
238	0.9960185569
239	0.99584547
240	0.9955896362
241	0.9951009433
242	0.9948764103
243	0.9945935949
244	0.994126869
245	0.9936937243
246	0.9933469939
247	0.9929945215
248	0.9928331686
249	0.9925713526
250	0.9923636439
251	0.9918435626
252	0.9914284814
253	0.9911367306
254	0.9908364766
255	0.9905430179
256	0.9900764781
257	0.9897741424
258	0.9894130405
259	0.9891765408
260	0.9890602922
261	0.9888230142
262	0.988470696
263	0.9880955613
264	0.9878631778
265	0.9876079307
266	0.9873301662
267	0.9869334141
268	0.9867244826
269	0.9860173629
270	0.9858121302
271	0.9854913643
272	0.9851641757
273	0.9848131778
274	0.9845375197
275	0.9843396743
276	0.9840040672
277	0.9837397872
278	0.983501851
279	0.9829243348
280	0.9824880152
281	0.982114827
282	0.9819422592
283	0.9814120662
284	0.9810115817
285	0.9807447934
286	0.9802970629
287	0.979772876
288	0.9795065889
289	0.9790743111
290	0.978450609
291	0.9781676981
292	0.9777618935
293	0.9776115926
294	0.9772678032
295	0.9768662768
296	0.9764998127
297	0.9760973749
