iter	Passed	Remaining
0	0	253
1	0	246
2	0	245
3	0	244
4	1	252
5	1	249
6	1	246
7	1	245
8	2	247
9	2	252
10	2	253
11	3	254
12	3	251
13	3	249
14	3	250
15	4	249
16	4	247
17	4	248
18	4	248
19	5	247
20	5	246
21	5	246
22	5	245
23	6	246
24	6	245
25	6	245
26	6	244
27	6	239
28	7	238
29	7	238
30	7	237
31	7	237
32	8	237
33	8	240
34	8	245
35	9	248
36	9	247
37	9	246
38	9	245
39	10	244
40	10	244
41	10	243
42	11	245
43	11	244
44	11	244
45	11	243
46	11	243
47	12	242
48	12	242
49	12	243
50	13	243
51	13	243
52	13	243
53	13	242
54	14	241
55	14	242
56	14	241
57	14	242
58	15	242
59	15	242
60	15	242
61	15	241
62	16	241
63	16	241
64	16	241
65	17	241
66	17	241
67	17	241
68	17	241
69	18	241
70	18	241
71	18	241
72	18	240
73	19	241
74	19	240
75	19	240
76	20	240
77	20	239
78	20	239
79	20	239
80	21	239
81	21	239
82	21	238
83	21	239
84	22	240
85	22	239
86	22	239
87	23	239
88	23	240
89	23	240
90	23	239
91	24	239
92	24	238
93	24	238
94	25	239
95	25	238
96	25	238
97	25	238
98	26	238
99	26	237
100	26	237
101	26	237
102	27	236
103	27	236
104	27	235
105	27	235
106	28	235
107	28	235
108	28	235
109	29	235
110	29	234
111	29	234
112	29	234
113	30	233
114	30	233
115	30	233
116	30	233
117	31	232
118	31	232
119	31	232
120	31	232
121	32	231
122	32	231
123	32	231
124	33	231
125	33	231
126	33	231
127	33	230
128	34	230
129	34	230
130	34	230
131	34	230
132	35	230
133	35	229
134	35	229
135	36	229
136	36	228
137	36	228
138	36	228
139	37	228
140	37	228
141	37	227
142	37	227
143	38	226
144	38	226
145	38	226
146	38	226
147	39	225
148	39	225
149	39	225
150	40	225
151	40	225
152	40	225
153	40	225
154	41	224
155	41	224
156	41	225
157	42	224
158	42	224
159	42	224
160	43	224
161	43	224
162	43	224
163	44	224
164	44	224
165	44	223
166	44	223
167	45	223
168	45	223
169	46	226
170	46	226
171	46	226
172	47	225
173	47	225
174	47	225
175	48	225
176	48	225
177	48	224
178	48	224
179	49	224
180	49	225
181	49	224
182	50	224
183	50	224
184	50	223
185	50	223
186	51	222
187	51	222
188	51	222
189	51	221
190	52	221
191	52	221
192	52	221
193	53	220
194	53	220
195	53	220
